score,comparative,positive,negative
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-1,-0.03125,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":1,""comparative"":0.03125,""words"":[""no""]}"
-2,-0.13333333333333333,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":2,""comparative"":0.13333333333333333,""words"":[""obsolete""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-2,-0.06060606060606061,"{""score"":1,""comparative"":0.030303030303030304,""words"":[""yeah""]}","{""score"":3,""comparative"":0.09090909090909091,""words"":[""awful""]}"
2,0.05714285714285714,"{""score"":2,""comparative"":0.05714285714285714,""words"":[""fine""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-7,-1.1666666666666667,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":7,""comparative"":1.1666666666666667,""words"":[""shit"",""sucks""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
1,0.07692307692307693,"{""score"":4,""comparative"":0.3076923076923077,""words"":[""win""]}","{""score"":3,""comparative"":0.23076923076923078,""words"":[""bad""]}"
7,0.3684210526315789,"{""score"":7,""comparative"":0.3684210526315789,""words"":[""win"",""good""]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
-4,-0.19047619047619047,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":4,""comparative"":0.19047619047619047,""words"":[""error"",""fail""]}"
0,0,"{""score"":0,""comparative"":0,""words"":[]}","{""score"":0,""comparative"":0,""words"":[]}"
